"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","3,025,936","30%","80,412,854","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","2,658,828","26%","70,996,740","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","2,354,923","23%","10,887,300","",""
"EWZ","ISHARES","MSCI BRZ CAP ETF","464286400","154,275","1.5%","4,573,811","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","113,308","1.1%","919,855","",""
"IEMG","ISHARES INC","CORE MSCI EMKT","46434G103","60,174","0.6%","1,319,320","",""
"INTC","INTEL CORP","COM","458140100","57,495","0.6%","1,523,043","",""
"AAPL","APPLE INC","COM","037833100","39,183","0.4%","346,600","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","38,073","0.4%","175,000","",""
"MSFT","MICROSOFT CORP","COM","594918104","35,916","0.4%","623,548","",""
"ESRX","EXPRESS SCRIPTS HLDG CO","COM","30219G108","28,439","0.3%","403,218","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","27,626","0.3%","996,900","",""
"CSCO","CISCO SYS INC","COM","17275R102","27,266","0.3%","859,590","",""
"JNPR","JUNIPER NETWORKS INC","COM","48203R104","26,118","0.3%","1,085,556","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","24,944","0.2%","315,272","",""
"AMAT","APPLIED MATLS INC","COM","038222105","22,271","0.2%","738,683","",""
"PFE","PFIZER INC","COM","717081103","21,214","0.2%","626,339","",""
"BMY","BRISTOL MYERS SQUIBB CO","COM","110122108","21,060","0.2%","390,577","",""
"","NOBLE CORP PLC","SHS USD","G65431101","20,976","0.2%","3,308,530","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","20,842","0.2%","653,119","",""
"TXN","TEXAS INSTRS INC","COM","882508104","20,477","0.2%","291,781","",""
"SWN","SOUTHWESTERN ENERGY CO","COM","845467109","20,063","0.2%","1,449,623","",""
"URI","UNITED RENTALS INC","COM","911363109","19,829","0.2%","252,630","",""
"BFH","ALLIANCE DATA SYSTEMS CORP","COM","018581108","18,250","0.2%","85,071","",""
"ENDP","ENDO INTL PLC","SHS","G30401106","17,879","0.2%","887,293","",""
"CVX","CHEVRON CORP NEW","COM","166764100","16,570","0.2%","161,000","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","16,496","0.2%","189,000","",""
