"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","4,280,575","35%","105,484,837","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","3,574,752","29%","19,115,300","",""
"EEM","ISHARES","MSCI EMG MKT ETF","464287234","2,854,147","23%","69,596,365","",""
"LQD","ISHARES","IBOXX INV CP ETF","464287242","46,595","0.4%","398,455","",""
"MSFT","MICROSOFT CORP","COM","594918104","36,590","0.3%","892,645","",""
"IVV","ISHARES","CORE S&P500 ETF","464287200","32,925","0.3%","175,000","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","29,516","0.2%","620,465","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","25,990","0.2%","135,020","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","25,834","0.2%","262,993","",""
"NLOK","SYMANTEC CORP","COM","871503108","25,686","0.2%","1,286,229","",""
"CSCO","CISCO SYS INC","COM","17275R102","24,226","0.2%","1,080,780","",""
"AAPL","APPLE INC","COM","037833100","23,225","0.2%","43,271","",""
"ORCL","ORACLE CORP","COM","68389X105","23,126","0.2%","565,282","",""
"INTC","INTEL CORP","COM","458140100","19,654","0.2%","761,353","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","17,554","0.1%","247,721","",""
"VTR","VENTAS INC","COM","92276F100","17,526","0.1%","289,346","",""
"LVS","LAS VEGAS SANDS CORP","COM","517834107","17,407","0.1%","215,484","",""
"CAG","CONAGRA FOODS INC","COM","205887102","16,999","0.1%","547,809","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","16,200","0.1%","463,100","",""
"QCOM","QUALCOMM INC","COM","747525103","15,682","0.1%","198,865","",""
"EOG","EOG RES INC","COM","26875P101","15,295","0.1%","77,969","",""
"OXY","OCCIDENTAL PETE CORP DEL","COM","674599105","15,123","0.1%","158,700","",""
"PBR","PETROLEO BRASILEIRO SA PETRO","SPONSORED ADR","71654V408","13,246","0.1%","1,007,300","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","13,013","0.1%","339,000","",""
"RTX","UNITED TECHNOLOGIES CORP","COM","913017109","12,953","0.1%","110,860","",""
"GG","GOLDCORP INC NEW","COM","380956409","12,620","0.1%","515,507","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","12,593","0.1%","706,300","",""
"BP","BP PLC","SPONSORED ADR","055622104","12,251","0.1%","254,700","",""
"COP","CONOCOPHILLIPS","COM","20825C104","12,227","0.1%","173,800","",""
"FCX","FREEPORT-MCMORAN COPPER & GO","COM","35671D857","12,173","0.1%","368,085","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","12,015","0.1%","123,000","",""
"RIO","RIO TINTO PLC","SPONSORED ADR","767204100","11,992","0.1%","214,800","",""
"IMO.TO","IMPERIAL OIL LTD","COM NEW","453038408","11,991","0.1%","257,100","",""
"VALE","VALE S A","ADR","91912E105","11,822","0.1%","854,800","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","11,661","0.1%","93,308","",""
"BHP","BHP BILLITON LTD","SPONSORED ADR","088606108","11,515","0.1%","169,911","",""
"CVX","CHEVRON CORP NEW","COM","166764100","11,463","0.1%","96,400","",""
"SCCO","SOUTHERN COPPER CORP","COM","84265V105","10,923","0.1%","375,226","",""
"K","KELLOGG CO","COM","487836108","10,742","0.1%","171,300","",""
"WELL","HEALTH CARE REIT INC","COM","42217K106","10,364","0.1%","173,893","",""
"ED","CONSOLIDATED EDISON INC","COM","209115104","10,326","0.1%","192,478","",""
"MU","MICRON TECHNOLOGY INC","COM","595112103","10,017","0.1%","423,374","",""
"CELG","CELGENE CORP","COM","151020104","9,940","0.1%","71,200","",""
"CHK","CHESAPEAKE ENERGY CORP","COM","165167107","9,845","0.1%","384,288","",""
"PRGO","PERRIGO CO PLC","SHS","G97822103","9,639","0.1%","62,322","",""
"HON","HONEYWELL INTL INC","COM","438516106","9,619","0.1%","103,695","",""
"APC","ANADARKO PETE CORP","COM","032511107","9,527","0.1%","112,400","",""
"WU","WESTERN UN CO","COM","959802109","9,448","0.1%","577,500","",""
"NEM","NEWMONT MINING CORP","COM","651639106","9,327","0.1%","397,926","",""
"APA","APACHE CORP","COM","037411105","9,265","0.1%","111,699","",""
"WYNN","WYNN RESORTS LTD","COM","983134107","9,220","0.1%","41,505","",""
"PHM","PULTE GROUP INC","COM","745867101","8,991","0.1%","468,514","",""
"JNPR","JUNIPER NETWORKS INC","COM","48203R104","8,954","0.1%","347,582","",""
"EMR","EMERSON ELEC CO","COM","291011104","8,904","0.1%","133,288","",""
"BRCM","BROADCOM CORP","CL A","111320107","8,853","0.1%","281,328","",""
"WFM","WHOLE FOODS MKT INC","COM","966837106","8,669","0.1%","170,946","",""
"BA","BOEING CO","COM","097023105","8,488","0.1%","67,641","",""
"MGM","MGM RESORTS INTERNATIONAL","COM","552953101","8,469","0.1%","327,488","",""
"MO","ALTRIA GROUP INC","COM","02209S103","8,437","0.1%","225,400","",""
"BKNG","PRICELINE COM INC","COM NEW","741503403","8,224","0.1%","6,900","",""
"PCP","PRECISION CASTPARTS CORP","COM","740189105","8,217","0.1%","32,509","",""
"URI","UNITED RENTALS INC","COM","911363109","8,174","0.1%","86,100","",""
"CCL","CARNIVAL CORP","PAIRED CTF","143658300","8,058","0.1%","212,835","",""
"CHRW","C H ROBINSON WORLDWIDE INC","COM NEW","12541W209","7,732","0.1%","147,594","",""
"ALXN","ALEXION PHARMACEUTICALS INC","COM","015351109","7,663","0.1%","50,371","",""
"WPM","SILVER WHEATON CORP","COM","828336107","7,647","0.1%","336,861","",""
"ESRX","EXPRESS SCRIPTS HLDG CO","COM","30219G108","7,501","0.1%","99,888","",""
"TXN","TEXAS INSTRS INC","COM","882508104","7,492","0.1%","158,858","",""
"NTAP","NETAPP INC","COM","64110D104","7,410","0.1%","200,804","",""
"KR","KROGER CO","COM","501044101","7,406","0.1%","169,677","",""
"MON","MONSANTO CO NEW","COM","61166W101","7,034","0.1%","61,830","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","7,010","0.1%","242,000","",""
"VRSN","VERISIGN INC","COM","92343E102","6,951","0.1%","128,938","",""
"ICE","INTERCONTINENTALEXCHANGE GRO","COM","45866F104","6,904","0.1%","34,900","",""
"RAD","RITE AID CORP","COM","767754104","6,809","0.1%","1,085,900","",""
"MAR","MARRIOTT INTL INC NEW","CL A","571903202","6,707","0.1%","119,729","",""
"PEP","PEPSICO INC","COM","713448108","6,645","0.1%","79,577","",""
"EMC","E M C CORP MASS","COM","268648102","6,608","0.1%","241,062","",""
