"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","2,088,806","18%","7,038,466","",""
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","1,504,922","13%","37,380,069","",""
"IEMG","ISHARES INC","CORE MSCI EMKT","46434G103","848,082","7.5%","17,300,739","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","653,163","5.7%","2,188,003","",""
"GLD","SPDR GOLD TRUST","GOLD SHS","78463V107","563,344","4.9%","4,056,627","",""
"EWZ","ISHARES INC","MSCI BRAZIL ETF","464286400","534,645","4.7%","12,690,361","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","513,499","4.5%","12,564,214","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","297,249","2.6%","2,331,734","",""
"TLT","ISHARES TR","20 YR TR BD ETF","464287432","273,125","2.4%","1,908,898","",""
"HYG","ISHARES TR","IBOXX HI YD ETF","464288513","267,193","2.3%","3,065,192","",""
"EWY","ISHARES INC","MSCI STH KOR ETF","464286772","199,752","1.8%","3,545,470","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","177,000","1.6%","2,714,309","",""
"VEA","VANGUARD TAX MANAGED INTL FD","FTSE DEV MKT ETF","921943858","175,722","1.5%","4,277,546","",""
"IAU","ISHARES GOLD TRUST","ISHARES","464285105","164,686","1.4%","11,679,855","",""
"IEFA","ISHARES TR","CORE MSCI EAFE","46432F842","163,088","1.4%","2,670,507","",""
"EMB","ISHARES TR","JPMORGAN USD EMG","464288281","152,096","1.3%","1,341,829","",""
"EWT","ISHARES INC","MSCI TAIWAN ETF","46434G772","145,314","1.3%","3,996,522","",""
"INDA","ISHARES TR","MSCI INDIA ETF","46429B598","122,711","1.1%","3,655,387","",""
"BFH","ALLIANCE DATA SYSTEMS CORP","COM","018581108","72,630","0.6%","566,844","",""
"BIIB","BIOGEN INC","COM","09062X103","55,284","0.5%","237,455","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","53,811","0.5%","321,777","",""
"LB","L BRANDS INC","COM","501797104","53,436","0.5%","2,727,738","",""
"M","MACYS INC","COM","55616P104","52,695","0.5%","3,390,903","",""
"RL","RALPH LAUREN CORP","CL A","751212101","48,045","0.4%","503,248","",""
"XEC","CIMAREX ENERGY CO","COM","171798101","46,818","0.4%","976,604","",""
"WBA","WALGREENS BOOTS ALLIANCE INC","COM","931427108","46,725","0.4%","844,790","",""
"ALXN","ALEXION PHARMACEUTICALS INC","COM","015351109","46,569","0.4%","475,487","",""
"DVA","DAVITA INC","COM","23918K108","41,535","0.4%","727,788","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","38,542","0.3%","474,832","",""
"VIAC","CBS CORP NEW","CL B","124857202","38,178","0.3%","945,703","",""
"EWW","ISHARES INC","MSCI MEXICO ETF","464286822","36,567","0.3%","855,975","",""
"","TORONTO DOMINION BK ONT","COM NEW","891160509","35,401","0.3%","606,735","",""
"FL","FOOT LOCKER INC","COM","344849104","35,365","0.3%","819,402","",""
"JWN","NORDSTROM INC","COM","655664100","34,687","0.3%","1,030,217","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","34,208","0.3%","859,503","",""
"MCHI","ISHARES TR","MSCI CHINA ETF","46429B671","33,801","0.3%","602,720","",""
"ABC","AMERISOURCEBERGEN CORP","COM","03073E105","32,870","0.3%","399,252","",""
"KSS","KOHLS CORP","COM","500255104","32,513","0.3%","654,710","",""
"TIP","ISHARES TR","TIPS BD ETF","464287176","31,175","0.3%","268,082","",""
"ELV","ANTHEM INC","COM","036752103","31,056","0.3%","129,345","",""
"SWN","SOUTHWESTERN ENERGY CO","COM","845467109","30,394","0.3%","15,747,929","",""
"CLF","CLEVELAND CLIFFS INC","COM","185899101","29,470","0.3%","4,081,690","",""
"CLX","CLOROX CO DEL","COM","189054109","27,418","0.2%","180,535","",""
"EQT","EQT CORP","COM","26884L109","26,912","0.2%","2,529,370","",""
"IVZ","INVESCO LTD","SHS","G491BT108","25,943","0.2%","1,531,460","",""
"SPG","SIMON PPTY GROUP INC NEW","COM","828806109","25,536","0.2%","164,059","",""
"NEM","NEWMONT GOLDCORP CORPORATION","COM","651639106","25,373","0.2%","669,124","",""
"XLNX","XILINX INC","COM","983919101","24,655","0.2%","257,092","",""
"MLM","MARTIN MARIETTA MATLS INC","COM","573284106","23,932","0.2%","87,313","",""
"BNS.TO","BANK N S HALIFAX","COM","064149107","23,645","0.2%","416,027","",""
"MCK","MCKESSON CORP","COM","58155Q103","23,037","0.2%","168,575","",""
"PGR","PROGRESSIVE CORP OHIO","COM","743315103","22,959","0.2%","297,206","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","22,685","0.2%","109,054","",""
"URI","UNITED RENTALS INC","COM","911363109","22,370","0.2%","179,473","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","22,234","0.2%","493,221","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","21,857","0.2%","98,842","",""
"NRG","NRG ENERGY INC","COM NEW","629377508","21,612","0.2%","545,769","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","21,569","0.2%","240,057","",""
"COP","CONOCOPHILLIPS","COM","20825C104","21,200","0.2%","372,052","",""
"IPG","INTERPUBLIC GROUP COS INC","COM","460690100","20,719","0.2%","960,978","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","19,829","0.2%","328,512","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","19,158","0.2%","606,976","",""
"CPRI","CAPRI HOLDINGS LIMITED","SHS","G1890L107","18,789","0.2%","566,621","",""
"MAS","MASCO CORP","COM","574599106","18,557","0.2%","445,222","",""
"CMA","COMERICA INC","COM","200340107","18,203","0.2%","275,845","",""
"PVH","PVH CORP","COM","693656100","17,152","0.2%","194,400","",""
"REGN","REGENERON PHARMACEUTICALS","COM","75886F107","17,117","0.2%","61,705","",""
"URBN","URBAN OUTFITTERS INC","COM","917047102","16,691","0.1%","594,197","",""
"CAH","CARDINAL HEALTH INC","COM","14149Y108","16,491","0.1%","349,452","",""
"SLB","SCHLUMBERGER LTD","COM","806857108","16,460","0.1%","481,696","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","16,300","0.1%","314,592","",""
"LYB","LYONDELLBASELL INDUSTRIES N","SHS - A -","N53745100","16,291","0.1%","182,087","",""
"MU","MICRON TECHNOLOGY INC","COM","595112103","16,212","0.1%","378,339","",""
"CCL","CARNIVAL CORP","UNIT 99/99/9999","143658300","16,160","0.1%","369,709","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","15,446","0.1%","209,582","",""
"IP","INTL PAPER CO","COM","460146103","15,372","0.1%","367,565","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","14,934","0.1%","281,063","",""
"MO","ALTRIA GROUP INC","COM","02209S103","14,082","0.1%","344,301","",""
"NTES","NETEASE INC","SPONSORED ADS","64110W102","13,871","0.1%","52,111","",""
"DISCA","DISCOVERY INC","COM SER A","25470F104","13,606","0.1%","510,926","",""
"JD","JD COM INC","SPON ADR CL A","47215P106","13,373","0.1%","474,053","",""
"CVS","CVS HEALTH CORP","COM","126650100","13,247","0.1%","210,030","",""
"CTRA","CABOT OIL & GAS CORP","COM","127097103","13,213","0.1%","752,009","",""
"BEN","FRANKLIN RES INC","COM","354613101","13,031","0.1%","451,521","",""
"BCE.TO","BCE INC","COM NEW","05534B760","12,595","0.1%","260,225","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","12,540","0.1%","471,003","",""
"BWA","BORGWARNER INC","COM","099724106","12,346","0.1%","336,588","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","11,416","0.1%","138,276","",""
"HFC","HOLLYFRONTIER CORP","COM","436106108","11,364","0.1%","211,860","",""
"CF","CF INDS HLDGS INC","COM","125269100","11,234","0.1%","228,328","",""
"BIDU","BAIDU INC","SPON ADR REP A","056752108","11,220","0.1%","109,187","",""
"BMY","BRISTOL MYERS SQUIBB CO","COM","110122108","11,134","0.1%","219,568","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","11,132","0.1%","606,507","",""
"INTC","INTEL CORP","COM","458140100","11,101","0.1%","215,421","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","11,044","0.1%","248,349","",""
"EMN","EASTMAN CHEMICAL CO","COM","277432100","10,847","0.1%","146,921","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","10,789","0.1%","48,517","",""
"MPC","MARATHON PETE CORP","COM","56585A102","10,715","0.1%","176,371","",""
"MRO","MARATHON OIL CORP","COM","565849106","10,712","0.1%","872,994","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","10,704","0.1%","49,256","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","10,497","0.1%","210,584","",""
"ABX.TO","BARRICK GOLD CORPORATION","COM","067901108","10,455","0.1%","603,845","",""
"CNX","CNX RESOURCES CORPORATION","COM","12653C108","9,791","0.1%","1,348,555","",""
"UNP","UNION PACIFIC CORP","COM","907818108","9,642","0.1%","59,528","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","9,443","0.1%","211,056","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","8,818","0.1%","7,221","",""
"BXP","BOSTON PROPERTIES INC","COM","101121101","8,772","0.1%","67,657","",""
"BKNG","BOOKING HLDGS INC","COM","09857L108","8,524","0.1%","4,343","",""
"PHM","PULTE GROUP INC","COM","745867101","8,188","0.1%","224,013","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","7,778","0.1%","122,718","",""
"DUK","DUKE ENERGY CORP NEW","COM NEW","26441C204","7,514","0.1%","78,390","",""
"NOC","NORTHROP GRUMMAN CORP","COM","666807102","7,513","0.1%","20,047","",""
"FNV.TO","FRANCO NEVADA CORP","COM","351858105","7,428","0.1%","81,471","",""
"T.TO","TELUS CORP","COM","87971M103","7,372","0.1%","207,021","",""
"FFIV","F5 NETWORKS INC","COM","315616102","7,359","0.1%","52,407","",""
"MHK","MOHAWK INDS INC","COM","608190104","7,329","0.1%","59,072","",""
"GIB-A.TO","CGI INC","CL A SUB VTG","12532H104","7,285","0.1%","92,070","",""
"ERIE","ERIE INDTY CO","CL A","29530P102","7,143","0.1%","38,474","",""
