"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","918,632","18%","3,564,043","",""
"GLD","SPDR GOLD TRUST","GOLD SHS","78463V107","600,584","12%","4,056,627","",""
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","465,515","9.2%","13,875,259","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","331,989","6.6%","1,284,789","",""
"TLT","ISHARES TR","20 YR TR BD ETF","464287432","279,143","5.5%","1,692,081","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","227,019","4.5%","1,838,061","",""
"EWZ","ISHARES INC","MSCI BRAZIL ETF","464286400","192,639","3.8%","8,176,542","",""
"IAU","ISHARES GOLD TRUST","ISHARES","464285105","176,015","3.5%","11,679,855","",""
"IEMG","ISHARES INC","CORE MSCI EMKT","46434G103","134,550","2.7%","3,324,674","",""
"HYG","ISHARES TR","IBOXX HI YD ETF","464288513","115,166","2.3%","1,494,298","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","114,133","2.3%","3,344,072","",""
"EWY","ISHARES INC","MSCI STH KOR ETF","464286772","98,615","2.0%","2,101,769","",""
"INDA","ISHARES TR","MSCI INDIA ETF","46429B598","91,689","1.8%","3,802,938","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","88,068","1.7%","1,647,365","",""
"VEA","VANGUARD TAX-MANAGED INTL FD","FTSE DEV MKT ETF","921943858","86,762","1.7%","2,602,332","",""
"EMB","ISHARES TR","JPMORGAN USD EMG","464288281","78,559","1.6%","812,571","",""
"IEFA","ISHARES TR","CORE MSCI EAFE","46432F842","74,339","1.5%","1,490,060","",""
"EWT","ISHARES INC","MSCI TAIWAN ETF","46434G772","66,812","1.3%","2,026,453","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","54,096","1.1%","278,156","",""
"RY.TO","ROYAL BK CDA","COM","780087102","28,482","0.6%","465,072","",""
"","TORONTO DOMINION BK ONT","COM NEW","891160509","24,929","0.5%","593,053","",""
"MCHI","ISHARES TR","MSCI CHINA ETF","46429B671","22,417","0.4%","391,569","",""
"TIP","ISHARES TR","TIPS BD ETF","464287176","22,104","0.4%","187,449","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","21,935","0.4%","584,306","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","18,156","0.4%","234,870","",""
"BNS.TO","BANK NOVA SCOTIA B C","COM","064149107","16,365","0.3%","405,297","",""
"JD","JD COM INC","SPON ADR CL A","47215P106","15,995","0.3%","394,926","",""
"EWW","ISHARES INC","MSCI MEXICO ETF","464286822","14,316","0.3%","504,987","",""
"NTES","NETEASE INC","SPONSORED ADS","64110W102","14,045","0.3%","43,758","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","13,497","0.3%","307,128","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","11,982","0.2%","273,392","",""
"BCE.TO","BCE INC","COM NEW","05534B760","10,487","0.2%","258,557","",""
"BMO.TO","BANK MONTREAL","COM","063671101","10,265","0.2%","205,615","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","10,251","0.2%","46,984","",""
