"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","1,047,979","4.2%","22,717,958","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","1,042,648","4.2%","6,823,611","",""
"IEMG","ISHARES INC","CORE MSCI EMKT","46434G103","886,624","3.6%","15,960,820","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","885,923","3.6%","19,621,771","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","850,544","3.4%","1,883,234","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","813,883","3.3%","7,480,545","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","770,065","3.1%","4,345,002","",""
"KO","COCA COLA CO","COM","191216100","740,145","3.0%","11,937,821","",""
"PEP","PEPSICO INC","COM","713448108","698,187","2.8%","4,171,268","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","683,976","2.8%","1,187,767","",""
"WMT","WALMART INC","COM","931142103","600,451","2.4%","4,032,039","",""
"MCD","MCDONALDS CORP","COM","580135101","571,044","2.3%","2,309,303","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","509,615","2.1%","1,123,267","",""
"GLD","SPDR GOLD TR","GOLD SHS","78463V107","380,809","1.5%","2,107,996","",""
"ABT","ABBOTT LABS","COM","002824100","360,457","1.5%","3,045,430","",""
"SBUX","STARBUCKS CORP","COM","855244109","300,133","1.2%","3,299,256","",""
"TGT","TARGET CORP","COM","87612E106","280,792","1.1%","1,323,118","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","208,596","0.8%","1,880,088","",""
"CL","COLGATE PALMOLIVE CO","COM","194162103","199,238","0.8%","2,627,436","",""
"0A2S.IL","PINDUODUO INC","SPONSORED ADS","722304102","198,120","0.8%","4,939,412","",""
"EL","LAUDER ESTEE COS INC","CL A","518439104","197,402","0.8%","724,888","",""
"PFE","PFIZER INC","COM","717081103","171,569","0.7%","3,314,055","",""
"ISRG","INTUITIVE SURGICAL INC","COM NEW","46120E602","158,833","0.6%","526,494","",""
"BIDU","BAIDU INC","SPON ADR REP A","056752108","149,032","0.6%","1,126,473","",""
"SYK","STRYKER CORPORATION","COM","863667101","147,638","0.6%","552,227","",""
"DG","DOLLAR GEN CORP NEW","COM","256677105","137,954","0.6%","619,657","",""
"BDX","BECTON DICKINSON & CO","COM","075887109","134,037","0.5%","503,897","",""
"EW","EDWARDS LIFESCIENCES CORP","COM","28176E108","133,642","0.5%","1,135,256","",""
"JD","JD.COM INC","SPON ADR CL A","47215P106","123,912","0.5%","2,141,206","",""
"IAU","ISHARES GOLD TR","ISHARES NEW","464285204","123,492","0.5%","3,353,019","",""
"CVS","CVS HEALTH CORP","COM","126650100","122,557","0.5%","1,210,917","",""
"KMB","KIMBERLY-CLARK CORP","COM","494368103","121,950","0.5%","990,173","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","120,746","0.5%","998,400","",""
"SYY","SYSCO CORP","COM","871829107","118,559","0.5%","1,452,034","",""
"CMG","CHIPOTLE MEXICAN GRILL INC","COM","169656105","117,796","0.5%","74,459","",""
"BSX","BOSTON SCIENTIFIC CORP","COM","101137107","117,192","0.5%","2,646,012","",""
"","NIO INC","SPON ADS","62914V106","112,060","0.5%","5,323,524","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","106,475","0.4%","301,705","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","104,759","0.4%","3,276,798","",""
"KR","KROGER CO","COM","501044101","104,465","0.4%","1,820,895","",""
"YUM","YUM BRANDS INC","COM","988498101","104,050","0.4%","877,836","",""
"V","VISA INC","COM CL A","92826C839","101,855","0.4%","459,283","",""
"STZ","CONSTELLATION BRANDS INC","CL A","21036P108","101,463","0.4%","440,529","",""
"DLTR","DOLLAR TREE INC","COM","256746108","101,005","0.4%","630,688","",""
"HCA","HCA HEALTHCARE INC","COM","40412C101","97,579","0.4%","389,350","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","94,730","0.4%","1,146,997","",""
"HSY","HERSHEY CO","COM","427866108","93,225","0.4%","430,343","",""
"KHC","KRAFT HEINZ CO","COM","500754106","88,878","0.4%","2,256,361","",""
"LIN","LINDE PLC","SHS","G5494J103","88,271","0.4%","276,338","",""
"LI","LI AUTO INC","SPONSORED ADS","50202M102","86,621","0.3%","3,356,105","",""
"EWT","ISHARES INC","MSCI TAIWAN ETF","46434G772","85,657","0.3%","1,393,923","",""
"MNST","MONSTER BEVERAGE CORP NEW","COM","61174X109","84,431","0.3%","1,056,707","",""
"VEEV","VEEVA SYS INC","CL A COM","922475108","82,551","0.3%","388,550","",""
"GIS","GENERAL MLS INC","COM","370334104","82,106","0.3%","1,212,432","",""
"TMO","THERMO FISHER SCIENTIFIC INC","COM","883556102","80,180","0.3%","135,749","",""
"MCK","MCKESSON CORP","COM","58155Q103","78,580","0.3%","256,689","",""
"TSN","TYSON FOODS INC","CL A","902494103","78,363","0.3%","874,290","",""
"MCHI","ISHARES TR","MSCI CHINA ETF","46429B671","76,872","0.3%","1,453,428","",""
"IDXX","IDEXX LABS INC","COM","45168D104","76,283","0.3%","139,441","",""
"DXCM","DEXCOM INC","COM","252131107","74,305","0.3%","145,241","",""
"RTX","RAYTHEON TECHNOLOGIES CORP","COM","75513E101","74,190","0.3%","748,866","",""
"BAX","BAXTER INTL INC","COM","071813109","73,567","0.3%","948,766","",""
"49BA.SG","BEIGENE LTD","SPONSORED ADR","07725L102","72,388","0.3%","383,818","",""
"ACN","ACCENTURE PLC IRELAND","SHS CLASS A","G1151C101","71,185","0.3%","211,086","",""
"LLY","LILLY ELI & CO","COM","532457108","70,832","0.3%","247,346","",""
"CVX","CHEVRON CORP NEW","COM","166764100","70,728","0.3%","434,365","",""
"BF-B","BROWN FORMAN CORP","CL B","115637209","70,725","0.3%","1,055,285","",""
"CHD","CHURCH & DWIGHT CO INC","COM","171340102","70,566","0.3%","710,060","",""
"YUMC","YUM CHINA HLDGS INC","COM","98850P109","67,492","0.3%","1,624,759","",""
"RMD","RESMED INC","COM","761152107","65,669","0.3%","270,790","",""
"CERN","CERNER CORP","COM","156782104","65,648","0.3%","701,671","",""
"MBB","ISHARES TR","MBS ETF","464288588","65,614","0.3%","644,100","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","65,360","0.3%","479,460","",""
"MRK","MERCK & CO INC","COM","58933Y105","64,333","0.3%","784,070","",""
"XPEV","XPENG INC","ADS","98422D105","59,407","0.2%","2,153,216","",""
"PM","PHILIP MORRIS INTL INC","COM","718172109","58,943","0.2%","627,451","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","58,867","0.2%","1,257,315","",""
"TCOM","TRIP COM GROUP LTD","ADS","89677Q107","58,355","0.2%","2,524,024","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","57,894","0.2%","792,736","",""
"BAC","BK OF AMERICA CORP","COM","060505104","56,466","0.2%","1,369,880","",""
"ZBH","ZIMMER BIOMET HOLDINGS INC","COM","98956P102","52,939","0.2%","413,910","",""
"K","KELLOGG CO","COM","487836108","52,535","0.2%","814,622","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","51,616","0.2%","882,707","",""
"HON","HONEYWELL INTL INC","COM","438516106","51,019","0.2%","262,200","",""
"CSCO","CISCO SYS INC","COM","17275R102","50,977","0.2%","914,218","",""
"CB","CHUBB LIMITED","COM","H1467J104","50,488","0.2%","236,037","",""
"ALGN","ALIGN TECHNOLOGY INC","COM","016255101","50,418","0.2%","115,638","",""
"LU","LUFAX HOLDING LTD","ADS REP SHS CL A","54975P102","50,004","0.2%","8,977,303","",""
"INTC","INTEL CORP","COM","458140100","49,278","0.2%","994,313","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","48,907","0.2%","376,153","",""
"T","AT&T INC","COM","00206R102","48,374","0.2%","2,047,133","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","48,303","0.2%","769,400","",""
"DRI","DARDEN RESTAURANTS INC","COM","237194105","47,565","0.2%","357,769","",""
"ZTO","ZTO EXPRESS CAYMAN INC","SPONSORED ADS A","98980A105","47,259","0.2%","1,890,349","",""
"FCX","FREEPORT-MCMORAN INC","CL B","35671D857","46,304","0.2%","930,912","",""
"VEA","VANGUARD TAX-MANAGED INTL FD","FTSE DEV MKT ETF","921943858","45,054","0.2%","938,041","",""
"HRL","HORMEL FOODS CORP","COM","440452100","45,014","0.2%","873,384","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","44,584","0.2%","177,471","",""
"MU","MICRON TECHNOLOGY INC","COM","595112103","43,565","0.2%","559,314","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","43,517","0.2%","591,264","",""
"NEM","NEWMONT CORP","COM","651639106","43,484","0.2%","547,308","",""
"CLX","CLOROX CO DEL","COM","189054109","43,383","0.2%","312,038","",""
"BEKE","KE HLDGS INC","SPONSORED ADS","482497104","43,370","0.2%","3,506,077","",""
"QCOM","QUALCOMM INC","COM","747525103","43,144","0.2%","282,319","",""
"LH","LABORATORY CORP AMER HLDGS","COM NEW","50540R409","42,212","0.2%","160,101","",""
"TMUS","T-MOBILE US INC","COM","872590104","40,325","0.2%","314,179","",""
"IEFA","ISHARES TR","CORE MSCI EAFE","46432F842","39,989","0.2%","575,305","",""
"CAT","CATERPILLAR INC","COM","149123101","39,035","0.2%","175,187","",""
"WFC","WELLS FARGO CO NEW","COM","949746101","38,719","0.2%","798,998","",""
"GE","GENERAL ELECTRIC CO","COM NEW","369604301","38,695","0.2%","422,898","",""
"ABC","AMERISOURCEBERGEN CORP","COM","03073E105","38,507","0.2%","248,897","",""
"STE","STERIS PLC","SHS USD","G8473T100","38,445","0.2%","159,014","",""
"SCCO","SOUTHERN COPPER CORP","COM","84265V105","37,821","0.2%","498,298","",""
"SJM","SMUCKER J M CO","COM NEW","832696405","37,395","0.2%","276,162","",""
"F","FORD MTR CO DEL","COM","345370860","37,201","0.1%","2,199,950","",""
"COP","CONOCOPHILLIPS","COM","20825C104","36,816","0.1%","368,158","",""
"COO","COOPER COS INC","COM NEW","216648402","36,185","0.1%","86,652","",""
"ABNB","AIRBNB INC","COM CL A","009066101","34,033","0.1%","198,143","",""
"TFX","TELEFLEX INCORPORATED","COM","879369106","33,652","0.1%","94,841","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","33,328","0.1%","195,565","",""
"NTES","NETEASE INC","SPONSORED ADS","64110W102","33,197","0.1%","370,125","",""
"HD","HOME DEPOT INC","COM","437076102","32,357","0.1%","108,099","",""
"CME","CME GROUP INC","COM","12572Q105","31,493","0.1%","132,401","",""
"APD","AIR PRODS & CHEMS INC","COM","009158106","31,425","0.1%","125,746","",""
"ETN","EATON CORP PLC","SHS","G29183103","30,297","0.1%","199,639","",""
"LYB","LYONDELLBASELL INDUSTRIES N","SHS - A -","N53745100","30,294","0.1%","294,635","",""
"PSA","PUBLIC STORAGE","COM","74460D109","30,273","0.1%","77,567","",""
"HOLX","HOLOGIC INC","COM","436440101","30,131","0.1%","392,227","",""
"ADM","ARCHER DANIELS MIDLAND CO","COM","039483102","29,549","0.1%","327,376","",""
