"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","1,378,287","12%","3,686,443","",""
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","659,804","5.7%","13,167,118","",""
"GLD","SPDR GOLD TR","GOLD SHS","78463V107","532,419","4.6%","2,985,081","",""
"WMT","WALMART INC","COM","931142103","443,779","3.8%","3,078,593","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","375,045","3.2%","2,695,450","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","372,484","3.2%","1,600,500","",""
"IEMG","ISHARES INC","CORE MSCI EMKT","46434G103","333,945","2.9%","5,382,732","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","300,717","2.6%","801,079","",""
"IAU","ISHARES GOLD TRUST","ISHARES","464285105","280,741","2.4%","15,484,906","",""
"0A2S.IL","PINDUODUO INC","SPONSORED ADS","722304102","252,669","2.2%","1,422,126","",""
"KO","COCA COLA CO","COM","191216100","248,426","2.2%","4,530,008","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","231,312","2.0%","1,469,769","",""
"PEP","PEPSICO INC","COM","713448108","219,141","1.9%","1,477,688","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","197,608","1.7%","3,824,428","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","183,290","1.6%","486,464","",""
"MCD","MCDONALDS CORP","COM","580135101","165,265","1.4%","770,177","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","164,615","1.4%","3,545,440","",""
"VEA","VANGUARD TAX-MANAGED INTL FD","FTSE DEV MKT ETF","921943858","160,625","1.4%","3,402,353","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","156,470","1.4%","2,144,595","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","152,109","1.3%","1,101,203","",""
"JD","JD.COM INC","SPON ADR CL A","47215P106","150,660","1.3%","1,713,988","",""
"IEFA","ISHARES TR","CORE MSCI EAFE","46432F842","144,160","1.2%","2,086,557","",""
"MCHI","ISHARES TR","MSCI CHINA ETF","46429B671","133,474","1.2%","1,648,439","",""
"SBUX","STARBUCKS CORP","COM","855244109","127,629","1.1%","1,193,014","",""
"BIDU","BAIDU INC","SPON ADR REP A","056752108","108,495","0.9%","501,736","",""
"EL","LAUDER ESTEE COS INC","CL A","518439104","100,328","0.9%","376,904","",""
"ABT","ABBOTT LABS","COM","002824100","99,956","0.9%","912,926","",""
"","NIO INC","SPON ADS","62914V106","95,560","0.8%","1,960,609","",""
"TGT","TARGET CORP","COM","87612E106","95,139","0.8%","538,938","",""
"DHR","DANAHER CORPORATION","COM","235851102","92,578","0.8%","416,757","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","86,080","0.7%","1,472,203","",""
"EWT","ISHARES INC","MSCI TAIWAN ETF","46434G772","78,862","0.7%","1,485,726","",""
"CL","COLGATE PALMOLIVE CO","COM","194162103","77,087","0.7%","901,497","",""
"CVS","CVS HEALTH CORP","COM","126650100","55,854","0.5%","817,779","",""
"DG","DOLLAR GEN CORP NEW","COM","256677105","54,982","0.5%","261,446","",""
"ISRG","INTUITIVE SURGICAL INC","COM NEW","46120E602","54,369","0.5%","66,458","",""
"MNST","MONSTER BEVERAGE CORP NEW","COM","61174X109","53,707","0.5%","580,747","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","52,449","0.5%","412,755","",""
"EDU","NEW ORIENTAL ED & TECHNOLOGY","SPON ADR","647581107","52,187","0.5%","280,862","",""
"0A2X.IL","TAL EDUCATION GROUP","SPONSORED ADS","874080104","51,839","0.4%","724,925","",""
"KMB","KIMBERLY-CLARK CORP","COM","494368103","47,890","0.4%","355,190","",""
"BEKE","KE HLDGS INC","SPONSORED ADS","482497104","47,834","0.4%","777,284","",""
"SYK","STRYKER CORPORATION","COM","863667101","46,289","0.4%","188,904","",""
"VEEV","VEEVA SYS INC","CL A COM","922475108","44,997","0.4%","165,279","",""
"NTES","NETEASE INC","SPONSORED ADS","64110W102","44,222","0.4%","461,752","",""
"STZ","CONSTELLATION BRANDS INC","CL A","21036P108","44,127","0.4%","201,446","",""
"KHC","KRAFT HEINZ CO","COM","500754106","43,782","0.4%","1,263,185","",""
"BAC","BK OF AMERICA CORP","COM","060505104","42,418","0.4%","1,399,471","",""
"CMG","CHIPOTLE MEXICAN GRILL INC","COM","169656105","42,184","0.4%","30,420","",""
"YUMC","YUM CHINA HLDGS INC","COM","98850P109","41,702","0.4%","730,465","",""
"BF-B","BROWN FORMAN CORP","CL B","115637209","38,647","0.3%","486,560","",""
"SYY","SYSCO CORP","COM","871829107","37,087","0.3%","499,421","",""
"GIS","GENERAL MLS INC","COM","370334104","36,948","0.3%","628,359","",""
"BDX","BECTON DICKINSON & CO","COM","075887109","36,603","0.3%","146,285","",""
"TCOM","TRIP COM GROUP LTD","ADS","89677Q107","35,423","0.3%","1,050,185","",""
"YUM","YUM BRANDS INC","COM","988498101","33,607","0.3%","309,571","",""
"MSFT","MICROSOFT CORP","COM","594918104","33,199","0.3%","149,263","",""
"HSY","HERSHEY CO","COM","427866108","31,715","0.3%","208,199","",""
"WBA","WALGREENS BOOTS ALLIANCE INC","COM","931427108","31,159","0.3%","781,312","",""
"ADM","ARCHER DANIELS MIDLAND CO","COM","039483102","29,375","0.3%","582,713","",""
"GDS","GDS HLDGS LTD","SPONSORED ADS","36165L108","29,266","0.3%","312,542","",""
"EW","EDWARDS LIFESCIENCES CORP","COM","28176E108","28,577","0.2%","313,242","",""
"0LQ0.IL","VIPSHOP HOLDINGS LIMITED","SPONSORED ADS A","92763W103","28,506","0.2%","1,014,098","",""
"HCA","HCA HEALTHCARE INC","COM","40412C101","27,449","0.2%","166,906","",""
"DLTR","DOLLAR TREE INC","COM","256746108","26,927","0.2%","249,234","",""
