"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"VWO","VANGUARD INTL EQUITY INDEX F","FTSE EMR MKT ETF","922042858","2,229,014","30%","67,362,170","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","1,961,697","26%","10,236,900","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","1,196,763","16%","36,508,933","",""
"LQD","ISHARES TR","IBOXX INV CP ETF","464287242","96,338","1.3%","829,855","",""
"IVV","ISHARES TR","CORE S&P500 ETF","464287200","33,724","0.5%","175,000","",""
"LUMN","CENTURYLINK INC","COM","156700106","33,585","0.4%","1,336,974","",""
"KO","COCA COLA CO","COM","191216100","33,315","0.4%","830,374","",""
"VALPQ","ENSCO PLC","SHS CLASS A","G3157S106","31,067","0.4%","2,206,465","",""
"AAPL","APPLE INC","COM","037833100","30,316","0.4%","274,852","",""
"PEP","PEPSICO INC","COM","713448108","27,385","0.4%","290,403","",""
"GOOGL","GOOGLE INC","CL A","38259P508","25,679","0.3%","40,226","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","25,178","0.3%","578,665","",""
"NLOK","SYMANTEC CORP","COM","871503108","25,047","0.3%","1,286,416","",""
"MON","MONSANTO CO NEW","COM","61166W101","24,945","0.3%","292,299","",""
"EMN","EASTMAN CHEM CO","COM","277432100","24,661","0.3%","381,038","",""
"VIAB","VIACOM INC NEW","CL B","92553P201","24,390","0.3%","565,245","",""
"KSS","KOHLS CORP","COM","500255104","23,681","0.3%","511,367","",""
"","NOBLE CORP PLC","SHS USD","G65431101","22,637","0.3%","2,074,855","",""
"MOS","MOSAIC CO NEW","COM","61945C103","22,542","0.3%","724,600","",""
"IP","INTL PAPER CO","COM","460146103","21,999","0.3%","582,149","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","21,810","0.3%","222,121","",""
"AMAT","APPLIED MATLS INC","COM","038222105","21,727","0.3%","1,479,057","",""
"MSFT","MICROSOFT CORP","COM","594918104","20,847","0.3%","471,008","",""
"RTX","UNITED TECHNOLOGIES CORP","COM","913017109","19,926","0.3%","223,909","",""
"EXC","EXELON CORP","COM","30161N101","19,851","0.3%","668,386","",""
"VLO","VALERO ENERGY CORP NEW","COM","91913Y100","18,881","0.3%","314,157","",""
"BBBY","BED BATH & BEYOND INC","COM","075896100","18,821","0.3%","330,074","",""
"RL","RALPH LAUREN CORP","CL A","751212101","18,534","0.2%","156,858","",""
"T","AT&T INC","COM","00206R102","18,505","0.2%","567,975","",""
"WFM","WHOLE FOODS MKT INC","COM","966837106","18,410","0.2%","581,664","",""
"CA","CA INC","COM","12673P105","17,744","0.2%","649,976","",""
"FDX","FEDEX CORP","COM","31428X106","17,721","0.2%","123,082","",""
"BCE.TO","BCE INC","COM NEW","05534B760","16,272","0.2%","399,400","",""
"QCOM","QUALCOMM INC","COM","747525103","16,208","0.2%","301,665","",""
