"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","117,714,016","44%","887,135,554","",""
"BAC","BANK AMER CORP","COM","060505104","30,616,150","11%","1,010,100,606","",""
"KO","COCA COLA CO","COM","191216100","21,935,999","8.1%","400,000,000","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","18,331,249","6.8%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","11,286,503","4.2%","325,634,818","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","8,619,594","3.2%","146,716,496","",""
"MCO","MOODYS CORP","COM","615369105","7,160,156","2.7%","24,669,778","",""
"USB","US BANCORP DEL","COM NEW","902973304","6,109,721","2.3%","131,137,998","",""
"DVA","DAVITA HEALTHCARE PARTNERS I","COM","23918K108","4,237,620","1.6%","36,095,570","",""
"CVX","CHEVRON CORP NEW","COM","166764100","4,095,738","1.5%","48,498,965","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","3,448,965","1.3%","5,213,461","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,070,849","1.1%","72,357,453","",""
"GM","GENERAL MTRS CO","COM","37045V100","3,018,899","1.1%","72,500,000","",""
"VRSN","VERISIGN INC","COM","92343E102","2,773,299","1.0%","12,815,613","",""
"ABBV","ABBVIE INC","COM","00287Y109","2,735,870","1.0%","25,533,082","",""
"MRK","MERCK & CO. INC","COM","58933Y105","2,347,450","0.9%","28,697,435","",""
"V","VISA INC","COM CL A","92826C839","2,184,557","0.8%","9,987,460","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","2,067,833","0.8%","33,336,016","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,879,993","0.7%","43,208,291","",""
"AMZN","AMAZON COM INC","COM","023135106","1,736,921","0.6%","533,300","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","1,723,681","0.6%","6,125,376","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,629,344","0.6%","4,564,756","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","1,582,152","0.6%","52,423,867","",""
"STNE","STONECO LTD","COM CL A","G85158106","1,188,873","0.4%","14,166,748","",""
"KR","KROGER CO","COM","501044101","1,065,040","0.4%","33,534,017","",""
"STOR","STORE CAP CORP","COM","862121100","829,627","0.3%","24,415,168","",""
"RH","RH","COM","74967X103","775,350","0.3%","1,732,548","",""
"TMUS","T-MOBILE US INC","COM","872590104","706,884","0.3%","5,242,000","",""
"SYF","SYNCHRONY FINL","COM","87165B103","698,642","0.3%","20,128,000","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","668,641","0.2%","23,420,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","641,819","0.2%","14,860,360","",""
"GL","GLOBE LIFE INC","COM","37959E102","603,350","0.2%","6,353,727","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","499,336","0.2%","4,267,825","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","436,202","0.2%","18,010,000","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","412,916","0.2%","42,789,295","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","318,500","0.1%","50,000,000","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","232,390","0.1%","13,849,207","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","173,756","0.1%","7,346,968","",""
"BIIB","BIOGEN INC","COM","09062X103","157,450","0.1%","643,022","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","51,479","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","43,885","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","33,796","0.0%","578,000","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","29,280","0.0%","2,630,792","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","14,779","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","14,731","0.0%","39,400","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","14,240","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","10,003","0.0%","59,400","",""
