"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","121,502,087","42%","887,135,554","",""
"BAC","BANK AMER CORP","COM","060505104","41,646,448","14%","1,010,100,606","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","25,050,635","8.5%","151,610,700","",""
"KO","COCA COLA CO","COM","191216100","21,644,001","7.4%","400,000,000","",""
"KHC","KRAFT HEINZ CO","COM","500754106","13,279,388","4.5%","325,634,818","",""
"MCO","MOODYS CORP","COM","615369105","8,939,587","3.1%","24,669,778","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","8,898,941","3.0%","158,824,575","",""
"USB","US BANCORP DEL","COM NEW","902973304","7,342,802","2.5%","128,888,906","",""
"DVA","DAVITA INC","COM","23918K108","4,346,990","1.5%","36,095,570","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","3,761,251","1.3%","5,213,461","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,706,871","1.3%","72,357,453","",""
"GM","GENERAL MTRS CO","COM","37045V100","3,550,200","1.2%","60,000,000","",""
"VRSN","VERISIGN INC","COM","92343E102","2,917,987","1.0%","12,815,613","",""
"CVX","CHEVRON CORP NEW","COM","166764100","2,421,999","0.8%","23,123,920","",""
"KR","KROGER CO","COM","501044101","2,367,094","0.8%","61,787,910","",""
"V","VISA INC","COM CL A","92826C839","2,335,268","0.8%","9,987,460","",""
"ABBV","ABBVIE INC","COM","00287Y109","2,312,258","0.8%","20,527,861","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","2,004,432","0.7%","43,208,291","",""
"AMZN","AMAZON COM INC","COM","023135106","1,834,637","0.6%","533,300","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","1,756,983","0.6%","26,294,266","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,666,547","0.6%","4,564,756","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","1,481,116","0.5%","6,125,376","",""
"RH","RH","COM","74967X103","1,216,746","0.4%","1,791,967","",""
"AON","AON PLC","SHS CL A","G0403H108","1,049,589","0.4%","4,396,000","",""
"STOR","STORE CAP CORP","COM","862121100","842,568","0.3%","24,415,168","",""
"TMUS","T-MOBILE US INC","COM","872590104","759,199","0.3%","5,242,000","",""
"STNE","STONECO LTD","COM CL A","G85158106","717,237","0.2%","10,695,448","",""
"MRK","MERCK & CO. INC","COM","58933Y105","712,155","0.2%","9,157,192","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","692,195","0.2%","14,860,360","",""
"GL","GLOBE LIFE INC","COM","37959E102","605,193","0.2%","6,353,727","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","590,391","0.2%","4,196,692","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","423,615","0.1%","42,789,295","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","285,529","0.1%","43,658,800","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","53,886","0.0%","327,100","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","50,741","0.0%","1,876,522","",""
"OGN","ORGANON & CO","COMMON STOCK","68622V106","46,918","0.0%","1,550,481","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","42,557","0.0%","315,400","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","36,463","0.0%","2,630,792","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","36,090","0.0%","578,000","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","30,573","0.0%","675,054","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","18,105","0.0%","1,284,020","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","16,921","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","16,866","0.0%","39,400","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","12,353","0.0%","59,400","",""
