"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","108,363,609","40%","887,135,554","",""
"BAC","BANK AMER CORP","COM","060505104","39,080,793","15%","1,010,100,606","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","21,443,817","7.9%","151,610,700","",""
"KO","COCA COLA CO","COM","191216100","21,083,999","7.8%","400,000,000","",""
"KHC","KRAFT HEINZ CO","COM","500754106","13,025,393","4.8%","325,634,818","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","9,235,649","3.4%","158,824,575","",""
"MCO","MOODYS CORP","COM","615369105","7,366,643","2.7%","24,669,778","",""
"USB","US BANCORP DEL","COM NEW","902973304","7,172,993","2.7%","129,687,084","",""
"DVA","DAVITA INC","COM","23918K108","3,890,020","1.4%","36,095,570","",""
"GM","GENERAL MTRS CO","COM","37045V100","3,849,820","1.4%","67,000,000","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,421,785","1.3%","72,357,453","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","3,216,810","1.2%","5,213,461","",""
"VRSN","VERISIGN INC","COM","92343E102","2,547,231","0.9%","12,815,613","",""
"CVX","CHEVRON CORP NEW","COM","166764100","2,480,617","0.9%","23,672,271","",""
"ABBV","ABBVIE INC","COM","00287Y109","2,474,794","0.9%","22,868,178","",""
"V","VISA INC","COM CL A","92826C839","2,114,645","0.8%","9,987,460","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","1,959,064","0.7%","31,032,227","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,905,918","0.7%","43,208,291","",""
"KR","KROGER CO","COM","501044101","1,837,660","0.7%","51,060,296","",""
"AMZN","AMAZON COM INC","COM","023135106","1,650,073","0.6%","533,300","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,625,281","0.6%","4,564,756","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","1,404,426","0.5%","6,125,376","",""
"MRK","MERCK & CO. INC","COM","58933Y105","1,378,553","0.5%","17,882,388","",""
"RH","RH","COM","74967X103","1,047,897","0.4%","1,756,448","",""
"AON","AON PLC","SHS CL A","G0403H108","942,564","0.3%","4,096,146","",""
"STOR","STORE CAP CORP","COM","862121100","817,909","0.3%","24,415,168","",""
"TMUS","T-MOBILE US INC","COM","872590104","656,770","0.2%","5,242,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","655,045","0.2%","14,860,360","",""
"STNE","STONECO LTD","COM CL A","G85158106","654,775","0.2%","10,695,448","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","644,021","0.2%","5,287,526","",""
"GL","GLOBE LIFE INC","COM","37959E102","613,961","0.2%","6,353,727","",""
"TEVA","TEVA PHARMACEUTICAL INDS LTD","SPONSORED ADR","881624209","493,789","0.2%","42,789,295","",""
"AXTA","AXALTA COATING SYS LTD","COM","G0750C108","410,779","0.2%","13,887,037","",""
"SIRI","SIRIUS XM HLDGS INC","COM","82968B103","265,882","0.1%","43,658,800","",""
"LBTYK","LIBERTY GLOBAL PLC","SHS CL C","G5480U120","187,642","0.1%","7,346,968","",""
"BIIB","BIOGEN INC","COM","09062X103","179,885","0.1%","643,022","",""
"LBTYA","LIBERTY GLOBAL PLC","SHS CL A","G5480U104","86,213","0.0%","3,359,831","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","53,759","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","42,715","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","33,830","0.0%","578,000","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","33,753","0.0%","2,630,792","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","26,374","0.0%","675,054","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","16,667","0.0%","1,284,020","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","15,665","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","15,615","0.0%","39,400","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","10,097","0.0%","59,400","",""
