"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","122,337,373","41%","894,802,319","",""
"BAC","BANK AMER CORP","COM","060505104","31,444,432","11%","1,010,100,606","",""
"KO","COCA COLA CO","COM","191216100","25,164,000","8.4%","400,000,000","",""
"CVX","CHEVRON CORP NEW","COM","166764100","23,373,304","7.8%","161,440,149","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","21,016,276","7.0%","151,610,700","",""
"KHC","KRAFT HEINZ CO","COM","500754106","12,419,712","4.1%","325,634,818","",""
"OXY","OCCIDENTAL PETE CORP","COM","674599105","9,335,408","3.1%","158,549,729","",""
"MCO","MOODYS CORP","COM","615369105","6,709,439","2.2%","24,669,778","",""
"USB","US BANCORP DEL","COM NEW","902973304","5,513,432","1.8%","119,805,135","",""
"ATVI","ACTIVISION BLIZZARD INC","COM","00507V109","5,325,713","1.8%","68,401,150","",""
"HPQ","HP INC","COM","40434L105","3,424,725","1.1%","104,476,035","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","3,018,027","1.0%","72,357,453","",""
"DVA","DAVITA INC","COM","23918K108","2,886,202","1.0%","36,095,570","",""
"C","CITIGROUP INC","COM NEW","172967424","2,536,616","0.8%","55,155,797","",""
"KR","KROGER CO","COM","501044101","2,481,858","0.8%","52,437,295","",""
"VRSN","VERISIGN INC","COM","92343E102","2,144,436","0.7%","12,815,613","",""
"PARA","PARAMOUNT GLOBAL","CLASS B COM","92556H206","1,935,448","0.6%","78,421,645","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","1,793,974","0.6%","3,828,941","",""
"GM","GENERAL MTRS CO","COM","37045V100","1,679,385","0.6%","52,877,359","",""
"V","VISA INC","COM CL A","92826C839","1,633,687","0.5%","8,297,460","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","1,557,660","0.5%","43,208,291","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,257,708","0.4%","3,986,648","",""
"AON","AON PLC","SHS CL A","G0403H108","1,185,514","0.4%","4,396,000","",""
"AMZN","AMAZON COM INC","COM","023135106","1,132,836","0.4%","10,666,000","",""
"CE","CELANESE CORP DEL","COM","150870103","1,076,922","0.4%","9,156,714","",""
"MCK","MCKESSON CORP","COM","58155Q103","1,043,331","0.3%","3,198,344","",""
"ALLY","ALLY FINL INC","COM","02005N100","1,005,300","0.3%","30,000,000","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","851,795","0.3%","6,125,376","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","728,285","0.2%","20,207,680","",""
"TMUS","T-MOBILE US INC","COM","872590104","705,259","0.2%","5,242,000","",""
"GL","GLOBE LIFE INC","COM","37959E102","619,297","0.2%","6,353,727","",""
"MKL","MARKEL CORP","COM","570535104","604,738","0.2%","467,611","",""
"FWONK","LIBERTY MEDIA CORP DEL","COM SER C FRMLA","531229854","490,143","0.2%","7,722,451","",""
"RH","RH","COM","74967X103","460,605","0.2%","2,170,000","",""
"","NU HLDGS LTD","ORD SHS CL A","G6693N103","400,624","0.1%","107,118,784","",""
"FND","FLOOR & DECOR HLDGS INC","CL A","339750101","300,949","0.1%","4,780,000","",""
"STOR","STORE CAP CORP","COM","862121100","180,693","0.1%","6,928,413","",""
"STNE","STONECO LTD","COM CL A","G85158106","82,355","0.0%","10,695,448","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","62,862","0.0%","404,911","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","58,064","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","45,351","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","35,888","0.0%","578,000","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","20,520","0.0%","2,630,792","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","14,916","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","14,864","0.0%","39,400","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","10,843","0.0%","59,400","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","10,003","0.0%","1,284,020","",""
