"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","157,528,660","48%","887,135,554","",""
"BAC","BANK AMER CORP","COM","060505104","44,939,376","14%","1,010,100,606","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","24,803,511","7.5%","151,610,700","",""
"KO","COCA COLA CO","COM","191216100","23,684,001","7.2%","400,000,000","",""
"KHC","KRAFT HEINZ CO","COM","500754106","11,690,290","3.5%","325,634,818","",""
"MCO","MOODYS CORP","COM","615369105","9,635,522","2.9%","24,669,778","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","8,252,525","2.5%","158,824,575","",""
"USB","US BANCORP DEL","COM NEW","902973304","7,100,894","2.1%","126,417,887","",""
"CVX","CHEVRON CORP NEW","COM","166764100","4,488,055","1.4%","38,245,036","",""
"BK","BANK OF NEW YORK MELLON CORP","COM","064058100","4,202,522","1.3%","72,357,453","",""
"DVA","DAVITA INC","COM","23918K108","4,106,232","1.2%","36,095,570","",""
"GM","GENERAL MTRS CO","COM","37045V100","3,517,800","1.1%","60,000,000","",""
"VRSN","VERISIGN INC","COM","92343E102","3,252,859","1.0%","12,815,613","",""
"KR","KROGER CO","COM","501044101","2,779,549","0.8%","61,412,910","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","2,496,355","0.8%","3,828,941","",""
"LSXMK","LIBERTY MEDIA CORP DELAWARE","COM C SIRIUSXM","531229607","2,197,142","0.7%","43,208,291","",""
"SNOW","SNOWFLAKE INC","CL A","833445109","2,074,971","0.6%","6,125,376","",""
"V","VISA INC","COM CL A","92826C839","1,798,143","0.5%","8,297,460","",""
"AMZN","AMAZON COM INC","COM","023135106","1,778,204","0.5%","533,300","",""
"MA","MASTERCARD INC","CL A","57636Q104","1,432,482","0.4%","3,986,648","",""
"AON","AON PLC","SHS CL A","G0403H108","1,321,261","0.4%","4,396,000","",""
"LSXMA","LIBERTY MEDIA CORP DELAWARE","COM A SIRIUSXM","531229409","1,027,561","0.3%","20,207,680","",""
"","NU HLDGS LTD","ORD SHS CL A","G6693N103","1,004,774","0.3%","107,118,784","",""
"ATVI","ACTIVISION BLIZZARD INC","COM","00507V109","975,205","0.3%","14,658,121","",""
"RH","RH","COM","74967X103","973,561","0.3%","1,816,547","",""
"STOR","STORE CAP CORP","COM","862121100","839,882","0.3%","24,415,168","",""
"TMUS","T-MOBILE US INC","COM","872590104","607,968","0.2%","5,242,000","",""
"GL","GLOBE LIFE INC","COM","37959E102","595,471","0.2%","6,353,727","",""
"ABBV","ABBVIE INC","COM","00287Y109","410,744","0.1%","3,033,561","",""
"RPRX","ROYALTY PHARMA PLC","SHS CLASS A","G7709Q104","344,633","0.1%","8,648,268","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","324,387","0.1%","5,202,674","",""
"STNE","STONECO LTD","COM CL A","G85158106","180,325","0.1%","10,695,448","",""
"FWONK","LIBERTY MEDIA CORP DEL","COM SER C FRMLA","531229854","133,989","0.0%","2,118,746","",""
"FND","FLOOR & DECOR HLDGS INC","CL A","339750101","109,691","0.0%","843,709","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","70,382","0.0%","404,911","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","55,957","0.0%","327,100","",""
"PG","PROCTER & GAMBLE CO","COM","742718109","51,593","0.0%","315,400","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","38,327","0.0%","578,000","",""
"WFC","WELLS FARGO & CO NEW","COM","949746101","32,389","0.0%","675,054","",""
"LILA","LIBERTY LATIN AMERICA LTD","COM CL A","G9001E102","30,675","0.0%","2,630,792","",""
"VOO","VANGUARD INDEX FDS","S&P 500 ETF SHS","922908363","18,773","0.0%","43,000","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","18,713","0.0%","39,400","",""
"LILAK","LIBERTY LATIN AMERICA LTD","COM CL C","G9001E128","14,638","0.0%","1,284,020","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","12,732","0.0%","59,400","",""
